Id	Categories	Description
COG0266	L	Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates (By similarity)
COG0267	J	50S ribosomal protein L33
COG0268	J	Binds directly to 16S ribosomal RNA (By similarity)
COG0269	G	synthase
COG0270	L	Cytosine-specific methyltransferase
COG0271	T	Bola-like protein
COG0272	L	DNA ligase (NAD+) activity
COG0274	F	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)
COG0275	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)
COG0276	H	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
COG0277	C	FAD linked oxidase domain protein
COG0278	O	Glutaredoxin
COG0279	G	D-glycero-D-manno-heptose 7-phosphate metabolic process
COG0280	C	phosphate acetyltransferase
COG0281	C	malic enzyme
COG0282	C	acetate kinase activity
COG0283	F	Cytidine monophosphate kinase
COG0284	F	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP) (By similarity)
COG0285	H	Folylpolyglutamate synthase
COG0286	V	type I restriction-modification system
COG0287	E	prephenate dehydrogenase
COG0288	P	carbonic anhydrase
COG0289	E	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)
COG0290	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)
COG0291	J	50s ribosomal protein L35
COG0292	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)
COG0293	J	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit (By similarity)
COG0294	H	dihydropteroate synthase
COG0295	F	cytidine deaminase
COG0296	G	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)
COG0297	G	starch synthase activity
COG0298	O	chaperone-mediated protein complex assembly
COG0299	F	phosphoribosylglycinamide formyltransferase
COG0300	S	Dehydrogenase
COG0301	H	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)
COG0302	H	GTP cyclohydrolase i
COG0303	H	Molybdenum cofactor synthesis domain protein
COG0304	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
COG0305	L	Replicative dna helicase
COG0306	P	inorganic phosphate transmembrane transporter activity
COG0307	H	riboflavin synthase, subunit alpha
COG0308	E	aminopeptidase
COG0309	O	Hydrogenase expression formation protein HypE
COG0310	P	Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import (By similarity)
COG0311	H	Involved in the hydrolysis of glutamine to glutamate and ammonia. Channels an ammonia molecule to PdxS (By similarity)
COG0312	S	peptidase U62 modulator of DNA gyrase
COG0313	S	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)
COG0314	H	Molybdopterin
COG0315	H	Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)
COG0316	S	Iron--sulfur cluster
COG0317	KT	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)
COG0318	IQ	Amp-dependent synthetase and ligase
COG0319	S	metalloendopeptidase activity
COG0320	H	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)
COG0321	H	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)
COG0322	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)
COG0323	L	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)
COG0324	J	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)
COG0325	S	alanine racemase domain protein
COG0326	O	Molecular chaperone. Has ATPase activity (By similarity)
COG0327	S	dinuclear metal center protein, YbgI
COG0328	L	ribonuclease H activity
COG0329	E	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)
COG0330	O	Band 7 protein
COG0331	I	Malonyl coA-acyl carrier protein transacylase
COG0332	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity)
COG0333	J	50s ribosomal protein l32
COG0334	E	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
COG0335	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)
COG0336	J	Specifically methylates guanosine-37 in various tRNAs (By similarity)
COG0337	E	3-dehydroquinate synthase
COG0338	L	site-specific DNA-methyltransferase (adenine-specific) activity
COG0339	E	oligopeptidase a
COG0340	H	Biotin- acetyl-CoA-carboxylase ligase
COG0341	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
COG0342	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
COG0343	J	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
COG0344	S	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)
COG0345	E	pyrroline-5-carboxylate reductase activity
COG0346	E	glyoxalase bleomycin resistance protein dioxygenase
COG0347	E	Nitrogen regulatory protein pii
COG0348	C	4Fe-4S Ferredoxin iron-sulfur binding domain protein
COG0349	J	Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides (By similarity)
COG0350	L	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)
COG0351	H	phosphomethylpyrimidine kinase
COG0352	H	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP) (By similarity)
COG0353	L	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)
COG0354	S	Folate-binding protein involved in regulating the level of ATP-DnaA and in the modification of some tRNAs. It is probably a key factor in regulatory networks that act via tRNA modification, such as initiation of chromosomal replication (By similarity)
COG0355	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
COG0356	C	it plays a direct role in the translocation of protons across the membrane (By similarity)
COG0357	M	Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)
COG0358	L	DNA primase activity
COG0359	J	Binds to the 23S rRNA (By similarity)
COG0360	J	Binds together with S18 to 16S ribosomal RNA (By similarity)
COG0361	J	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)
COG0362	G	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)
COG0363	G	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion (By similarity)
COG0364	G	Glucose-6-phosphate 1-dehydrogenase
COG0365	I	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)
COG0366	G	alpha amylase, catalytic
COG0367	E	asparagine synthetase
COG0368	H	Joins Ado-cobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin) (By similarity)
COG0369	P	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component (By similarity)
COG0370	P	Ferrous iron transport protein b
COG0371	C	Dehydrogenase
COG0372	C	citrate synthase
COG0373	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)
COG0374	C	Hydrogenase, large subunit
COG0375	O	Probably plays a role in a hydrogenase nickel cofactor insertion step (By similarity)
COG0376	P	Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity)
COG0377	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
